,"Voltage, V","Current, A"
0,-0.8,-4.53627e-05
1,-0.795,-4.38715e-05
2,-0.79,-4.26497e-05
3,-0.785,-4.1551e-05
4,-0.78,-4.05426e-05
5,-0.775,-3.96146e-05
6,-0.77,-3.87436e-05
7,-0.765,-3.82943e-05
8,-0.76,-3.75186e-05
9,-0.755,-3.67779e-05
10,-0.75,-3.60765e-05
11,-0.745,-3.54045e-05
12,-0.74,-3.47618e-05
13,-0.735,-3.41415e-05
14,-0.73,-3.35445e-05
15,-0.725,-3.29626e-05
16,-0.72,-3.24056e-05
17,-0.715,-3.18668e-05
18,-0.71,-3.13475e-05
19,-0.705,-3.08389e-05
20,-0.7,-3.03481e-05
21,-0.695,-2.98693e-05
22,-0.69,-2.94018e-05
23,-0.685,-2.89451e-05
24,-0.68,-2.85087e-05
25,-0.675,-2.80765e-05
26,-0.67,-2.76556e-05
27,-0.665,-2.7244e-05
28,-0.66,-2.6843e-05
29,-0.655,-2.64506e-05
30,-0.65,-2.60643e-05
31,-0.645,-2.56897e-05
32,-0.64,-2.53206e-05
33,-0.635,-2.49604e-05
34,-0.63,-2.46092e-05
35,-0.625,-2.42595e-05
36,-0.62,-2.39208e-05
37,-0.615,-2.35891e-05
38,-0.61,-2.3263e-05
39,-0.605,-2.2938e-05
40,-0.600001,-2.26189e-05
41,-0.595001,-2.23087e-05
42,-0.590001,-2.20039e-05
43,-0.585001,-2.17038e-05
44,-0.580001,-2.14078e-05
45,-0.575001,-2.11204e-05
46,-0.570001,-2.08307e-05
47,-0.565001,-2.05494e-05
48,-0.560001,-2.02705e-05
49,-0.555001,-1.99998e-05
50,-0.550001,-1.97295e-05
51,-0.545001,-1.94656e-05
52,-0.540001,-1.92042e-05
53,-0.535001,-1.89492e-05
54,-0.530001,-1.86941e-05
55,-0.525001,-1.84402e-05
56,-0.520001,-1.81924e-05
57,-0.515001,-1.79469e-05
58,-0.510001,-1.7705e-05
59,-0.505001,-1.74612e-05
60,-0.500001,-1.72232e-05
61,-0.495001,-1.69831e-05
62,-0.490001,-1.67446e-05
63,-0.485001,-1.65062e-05
64,-0.480001,-1.62713e-05
65,-0.475001,-1.60384e-05
66,-0.470001,-1.58022e-05
67,-0.465001,-1.55633e-05
68,-0.460001,-1.53282e-05
69,-0.455001,-1.50919e-05
70,-0.450001,-1.48566e-05
71,-0.445001,-1.46233e-05
72,-0.440001,-1.43887e-05
73,-0.435001,-1.41593e-05
74,-0.430001,-1.39291e-05
75,-0.425001,-1.36993e-05
76,-0.420001,-1.34739e-05
77,-0.415001,-1.32473e-05
78,-0.410001,-1.30236e-05
79,-0.405001,-1.2801e-05
80,-0.400001,-1.258e-05
81,-0.395001,-1.23638e-05
82,-0.390001,-1.2149e-05
83,-0.385001,-1.19368e-05
84,-0.380001,-1.17246e-05
85,-0.375001,-1.15206e-05
86,-0.370001,-1.13153e-05
87,-0.365001,-1.11082e-05
88,-0.360001,-1.09085e-05
89,-0.355001,-1.07104e-05
90,-0.350001,-1.05136e-05
91,-0.345001,-1.03182e-05
92,-0.340001,-1.01248e-05
93,-0.335001,-9.9345e-06
94,-0.330001,-9.74694e-06
95,-0.325001,-9.56074e-06
96,-0.320001,-9.37526e-06
97,-0.315001,-9.19273e-06
98,-0.310001,-9.01055e-06
99,-0.305001,-8.83169e-06
100,-0.300001,-8.65148e-06
101,-0.295001,-8.47305e-06
102,-0.290001,-8.29575e-06
103,-0.285001,-8.11884e-06
104,-0.280001,-7.94561e-06
105,-0.275001,-7.76937e-06
106,-0.270001,-7.59857e-06
107,-0.265001,-7.42393e-06
108,-0.260001,-7.2517e-06
109,-0.255001,-7.07964e-06
110,-0.250001,-6.90771e-06
111,-0.245001,-6.73765e-06
112,-0.240001,-6.56564e-06
113,-0.235001,-6.39211e-06
114,-0.230001,-6.224e-06
115,-0.225001,-6.05372e-06
116,-0.220001,-5.88326e-06
117,-0.215001,-5.71325e-06
118,-0.210001,-5.54209e-06
119,-0.205001,-5.37258e-06
120,-0.200002,-5.20297e-06
