,"Voltage, V","Current, A"
0,-0.8,-0.000107334
1,-0.795,-7.13167e-05
2,-0.79,-5.71764e-05
3,-0.785,-4.84141e-05
4,-0.78,-4.7116e-05
5,-0.775,-4.2498e-05
6,-0.77,-3.8871e-05
7,-0.765,-3.58702e-05
8,-0.76,-3.33856e-05
9,-0.755,-3.12722e-05
10,-0.75,-2.99425e-05
11,-0.745,-2.83439e-05
12,-0.74,-2.69434e-05
13,-0.735,-2.57037e-05
14,-0.73,-2.45872e-05
15,-0.725,-2.35722e-05
16,-0.72,-2.2647e-05
17,-0.715,-2.18212e-05
18,-0.71,-2.12107e-05
19,-0.705,-2.04637e-05
20,-0.7,-1.97378e-05
21,-0.695,-1.9053e-05
22,-0.69,-1.84209e-05
23,-0.685,-1.78285e-05
24,-0.68,-1.72791e-05
25,-0.675,-1.67718e-05
26,-0.67,-1.62983e-05
27,-0.665,-1.58652e-05
28,-0.66,-1.54281e-05
29,-0.655,-1.5011e-05
30,-0.65,-1.45991e-05
31,-0.645,-1.42076e-05
32,-0.64,-1.38225e-05
33,-0.635,-1.34193e-05
34,-0.63,-1.31098e-05
35,-0.625,-1.27766e-05
36,-0.62,-1.25094e-05
37,-0.615,-1.22115e-05
38,-0.61,-1.19357e-05
39,-0.605,-1.16836e-05
40,-0.600001,-1.14061e-05
41,-0.595001,-1.11373e-05
42,-0.590001,-1.08912e-05
43,-0.585001,-1.06392e-05
44,-0.580001,-1.03993e-05
45,-0.575001,-1.01797e-05
46,-0.570001,-9.96377e-06
47,-0.565001,-9.77851e-06
48,-0.560001,-9.65539e-06
49,-0.555001,-9.36801e-06
50,-0.550001,-9.13454e-06
51,-0.545001,-8.91045e-06
52,-0.540001,-8.71307e-06
53,-0.535001,-8.52399e-06
54,-0.530001,-8.3683e-06
55,-0.525001,-8.13586e-06
56,-0.520001,-7.9534e-06
57,-0.515001,-7.76743e-06
58,-0.510001,-7.56717e-06
59,-0.505001,-7.36255e-06
60,-0.500001,-7.21296e-06
61,-0.495001,-7.09549e-06
62,-0.490001,-6.92613e-06
63,-0.485001,-6.77052e-06
64,-0.480001,-6.61258e-06
65,-0.475001,-6.45709e-06
66,-0.470001,-6.3017e-06
67,-0.465001,-6.14627e-06
68,-0.460001,-5.98613e-06
69,-0.455001,-5.78191e-06
70,-0.450001,-5.67468e-06
71,-0.445001,-5.59125e-06
72,-0.440001,-5.43469e-06
73,-0.435001,-5.29135e-06
74,-0.430001,-5.15151e-06
75,-0.425001,-5.01327e-06
76,-0.420001,-4.87343e-06
77,-0.415001,-4.73888e-06
78,-0.410001,-4.60684e-06
79,-0.405001,-4.47615e-06
80,-0.400001,-4.34563e-06
81,-0.395001,-4.20711e-06
82,-0.390001,-4.0718e-06
83,-0.385001,-3.94778e-06
84,-0.380001,-3.80874e-06
85,-0.375001,-3.67329e-06
86,-0.370001,-3.58949e-06
87,-0.365001,-3.46349e-06
88,-0.360001,-3.33684e-06
89,-0.355001,-3.19597e-06
90,-0.350001,-3.07028e-06
91,-0.345001,-2.93869e-06
92,-0.340001,-2.81415e-06
93,-0.335001,-2.69103e-06
94,-0.330001,-2.56096e-06
95,-0.325001,-2.43811e-06
96,-0.320001,-2.32975e-06
97,-0.315001,-2.21715e-06
98,-0.310001,-2.05702e-06
99,-0.305001,-1.94568e-06
100,-0.300001,-1.82775e-06
101,-0.295001,-1.71759e-06
102,-0.290001,-1.61753e-06
103,-0.285001,-1.51009e-06
104,-0.280001,-1.39092e-06
105,-0.275001,-1.27004e-06
106,-0.270001,-1.1556e-06
107,-0.265001,-1.05207e-06
108,-0.260001,-9.49718e-07
109,-0.255001,-8.47813e-07
110,-0.250001,-7.46556e-07
111,-0.245001,-6.47847e-07
112,-0.240001,-5.53602e-07
113,-0.235001,-4.48872e-07
114,-0.230001,-3.56766e-07
115,-0.225001,-2.62476e-07
116,-0.220001,-1.68019e-07
117,-0.215001,-7.32626e-08
118,-0.210001,1.78516e-08
119,-0.205001,1.11399e-07
120,-0.200002,2.05727e-07
121,-0.195002,2.9824e-07
122,-0.190002,3.90696e-07
123,-0.185002,4.78233e-07
124,-0.180002,5.82096e-07
125,-0.175002,6.65633e-07
126,-0.170002,7.58946e-07
127,-0.165002,8.52343e-07
128,-0.160002,9.47173e-07
129,-0.155002,1.03973e-06
130,-0.150002,1.13313e-06
131,-0.145002,1.21985e-06
132,-0.140002,1.3255e-06
133,-0.135002,1.41871e-06
134,-0.130002,1.51467e-06
135,-0.125002,1.6129e-06
136,-0.120002,1.71348e-06
137,-0.115002,1.81471e-06
138,-0.110002,1.92841e-06
139,-0.105002,2.01391e-06
140,-0.100002,2.1149e-06
141,-0.0950018,2.2151e-06
142,-0.0900018,2.3204e-06
143,-0.0850018,2.42995e-06
144,-0.0800018,2.5402e-06
145,-0.0750018,2.6348e-06
146,-0.0700018,2.75703e-06
147,-0.0650018,2.86632e-06
148,-0.0600019,2.98464e-06
149,-0.0550019,3.10463e-06
150,-0.0500019,3.19693e-06
151,-0.0450019,3.34538e-06
152,-0.0400019,3.42989e-06
153,-0.0350019,3.54083e-06
154,-0.0300019,3.65777e-06
155,-0.0250019,3.77777e-06
156,-0.020002,3.89584e-06
157,-0.015002,4.02136e-06
158,-0.010002,4.14687e-06
159,-0.00500199,4.26664e-06
160,-2e-06,4.39426e-06
161,0.00499799,4.52166e-06
162,0.00999797,4.65056e-06
163,0.014998,4.78292e-06
164,0.0199979,4.91612e-06
165,0.0249979,5.0459e-06
166,0.0299979,5.18429e-06
167,0.0349979,5.32443e-06
168,0.0399979,5.47024e-06
169,0.0449979,5.60929e-06
170,0.0499979,5.75614e-06
171,0.0549979,5.90304e-06
172,0.0599978,6.05278e-06
173,0.0649978,6.22653e-06
174,0.0699978,6.36927e-06
175,0.0749978,6.53065e-06
176,0.0799978,6.67969e-06
177,0.0849978,6.85519e-06
178,0.0899978,7.0519e-06
179,0.0949978,7.23186e-06
180,0.0999977,7.40195e-06
181,0.104998,7.55357e-06
