,"Voltage, V","Current, A"
0,-0.8,-4.30857e-05
1,-0.795,-4.15183e-05
2,-0.79,-4.0251e-05
3,-0.785,-3.91299e-05
4,-0.78,-3.81232e-05
5,-0.775,-3.76224e-05
6,-0.77,-3.6744e-05
7,-0.765,-3.59261e-05
8,-0.76,-3.51455e-05
9,-0.755,-3.44087e-05
10,-0.75,-3.37119e-05
11,-0.745,-3.30407e-05
12,-0.74,-3.23991e-05
13,-0.735,-3.17788e-05
14,-0.73,-3.11892e-05
15,-0.725,-3.06168e-05
16,-0.72,-3.00682e-05
17,-0.715,-2.95353e-05
18,-0.71,-2.90184e-05
19,-0.705,-2.85194e-05
20,-0.7,-2.80357e-05
21,-0.695,-2.75682e-05
22,-0.69,-2.71089e-05
23,-0.685,-2.66656e-05
24,-0.68,-2.62321e-05
25,-0.675,-2.58086e-05
26,-0.67,-2.53994e-05
27,-0.665,-2.49954e-05
28,-0.66,-2.45995e-05
29,-0.655,-2.42144e-05
30,-0.65,-2.38375e-05
31,-0.645,-2.34707e-05
32,-0.64,-2.31115e-05
33,-0.635,-2.27522e-05
34,-0.63,-2.24047e-05
35,-0.625,-2.20615e-05
36,-0.62,-2.1725e-05
37,-0.615,-2.13934e-05
38,-0.61,-2.10688e-05
39,-0.605,-2.0747e-05
40,-0.600001,-2.04283e-05
41,-0.595001,-2.01142e-05
42,-0.590001,-1.98031e-05
43,-0.585001,-1.94948e-05
44,-0.580001,-1.91893e-05
45,-0.575001,-1.88894e-05
46,-0.570001,-1.8593e-05
47,-0.565001,-1.82982e-05
48,-0.560001,-1.80097e-05
49,-0.555001,-1.77219e-05
50,-0.550001,-1.74378e-05
51,-0.545001,-1.71583e-05
52,-0.540001,-1.68766e-05
53,-0.535001,-1.65988e-05
54,-0.530001,-1.63226e-05
55,-0.525001,-1.60479e-05
56,-0.520001,-1.57772e-05
57,-0.515001,-1.55083e-05
58,-0.510001,-1.52429e-05
59,-0.505001,-1.49775e-05
60,-0.500001,-1.47138e-05
61,-0.495001,-1.44556e-05
62,-0.490001,-1.41992e-05
63,-0.485001,-1.39457e-05
64,-0.480001,-1.3693e-05
65,-0.475001,-1.34456e-05
66,-0.470001,-1.32021e-05
67,-0.465001,-1.29605e-05
68,-0.460001,-1.27225e-05
69,-0.455001,-1.24901e-05
70,-0.450001,-1.22574e-05
71,-0.445001,-1.20278e-05
72,-0.440001,-1.18038e-05
73,-0.435001,-1.15839e-05
74,-0.430001,-1.1366e-05
75,-0.425001,-1.11508e-05
76,-0.420001,-1.09416e-05
77,-0.415001,-1.07367e-05
78,-0.410001,-1.053e-05
79,-0.405001,-1.03289e-05
80,-0.400001,-1.01328e-05
81,-0.395001,-9.93747e-06
82,-0.390001,-9.74647e-06
83,-0.385001,-9.55724e-06
84,-0.380001,-9.37159e-06
85,-0.375001,-9.18578e-06
86,-0.370001,-9.00393e-06
87,-0.365001,-8.82432e-06
88,-0.360001,-8.64716e-06
89,-0.355001,-8.47205e-06
90,-0.350001,-8.298e-06
91,-0.345001,-8.12509e-06
92,-0.340001,-7.95603e-06
93,-0.335001,-7.78375e-06
94,-0.330001,-7.61584e-06
95,-0.325001,-7.44798e-06
96,-0.320001,-7.28132e-06
97,-0.315001,-7.11246e-06
98,-0.310001,-6.9472e-06
99,-0.305001,-6.78139e-06
100,-0.300001,-6.61478e-06
101,-0.295001,-6.44854e-06
102,-0.290001,-6.28221e-06
