,"Voltage, V","Current, A"
0,-0.8,-0.000179786
1,-0.795,-0.000131055
2,-0.79,-0.000109383
3,-0.785,-9.52827e-05
4,-0.78,-8.726e-05
5,-0.775,-7.96662e-05
6,-0.77,-7.35933e-05
7,-0.765,-6.85656e-05
8,-0.76,-6.4291e-05
9,-0.755,-6.05663e-05
10,-0.75,-5.73008e-05
11,-0.745,-5.44167e-05
12,-0.74,-5.18319e-05
13,-0.735,-4.94839e-05
14,-0.73,-4.73398e-05
15,-0.725,-4.53594e-05
16,-0.72,-4.35557e-05
17,-0.715,-4.18891e-05
18,-0.71,-4.03022e-05
19,-0.705,-3.88883e-05
20,-0.7,-3.75233e-05
21,-0.695,-3.63991e-05
22,-0.69,-3.51757e-05
23,-0.685,-3.40421e-05
24,-0.68,-3.29824e-05
25,-0.675,-3.19818e-05
26,-0.67,-3.10259e-05
27,-0.665,-3.01146e-05
28,-0.66,-2.92547e-05
29,-0.655,-2.84357e-05
30,-0.65,-2.76534e-05
31,-0.645,-2.69059e-05
32,-0.64,-2.61996e-05
33,-0.635,-2.54782e-05
34,-0.63,-2.4814e-05
35,-0.625,-2.41744e-05
36,-0.62,-2.35748e-05
37,-0.615,-2.30102e-05
38,-0.61,-2.25362e-05
39,-0.605,-2.1982e-05
40,-0.600001,-2.1449e-05
41,-0.595001,-2.09454e-05
42,-0.590001,-2.04619e-05
43,-0.585001,-1.99684e-05
44,-0.580001,-1.9499e-05
45,-0.575001,-1.90286e-05
46,-0.570001,-1.85754e-05
47,-0.565001,-1.81268e-05
48,-0.560001,-1.77021e-05
49,-0.555001,-1.72969e-05
50,-0.550001,-1.68989e-05
51,-0.545001,-1.65051e-05
52,-0.540001,-1.61203e-05
53,-0.535001,-1.5744e-05
54,-0.530001,-1.53798e-05
55,-0.525001,-1.50247e-05
56,-0.520001,-1.4686e-05
57,-0.515001,-1.43528e-05
58,-0.510001,-1.40318e-05
59,-0.505001,-1.37172e-05
60,-0.500001,-1.34219e-05
61,-0.495001,-1.31507e-05
62,-0.490001,-1.28684e-05
63,-0.485001,-1.25937e-05
64,-0.480001,-1.23376e-05
65,-0.475001,-1.209e-05
66,-0.470001,-1.18699e-05
67,-0.465001,-1.16477e-05
68,-0.460001,-1.14042e-05
69,-0.455001,-1.11652e-05
70,-0.450001,-1.09422e-05
71,-0.445001,-1.07262e-05
72,-0.440001,-1.0501e-05
73,-0.435001,-1.02669e-05
74,-0.430001,-1.00517e-05
75,-0.425001,-9.8331e-06
76,-0.420001,-9.61695e-06
77,-0.415001,-9.41108e-06
78,-0.410001,-9.2206e-06
79,-0.405001,-9.03429e-06
80,-0.400001,-8.85286e-06
81,-0.395001,-8.69035e-06
82,-0.390001,-8.51729e-06
83,-0.385001,-8.37358e-06
84,-0.380001,-8.1688e-06
85,-0.375001,-7.97995e-06
86,-0.370001,-7.81089e-06
87,-0.365001,-7.61699e-06
88,-0.360001,-7.41613e-06
89,-0.355001,-7.25452e-06
90,-0.350001,-7.1423e-06
91,-0.345001,-7.01703e-06
92,-0.340001,-6.87539e-06
93,-0.335001,-6.74032e-06
94,-0.330001,-6.59258e-06
95,-0.325001,-6.44367e-06
96,-0.320001,-6.30063e-06
97,-0.315001,-6.14579e-06
98,-0.310001,-5.99958e-06
99,-0.305001,-5.86766e-06
100,-0.300001,-5.73024e-06
101,-0.295001,-5.59977e-06
102,-0.290001,-5.47483e-06
103,-0.285001,-5.34594e-06
